Code,POINT_X,POINT_Y,estimated fundus area of this villa,,,
1,221610.8411,4076716.136,590.8,,,
2,213290.276,4087031.536,373.7,,,
3,220486.205,4075172.919,172,,,
4,218716.8921,4084686.985,607.8,,,
5,203140.8456,4075846.373,1355.2,,,
6,205220.9596,4074730.186,163.9,,,
7,213032.0044,4070712.399,443,,,
8,203013.8454,4074766.871,547.7,,,
9,216643.0181,4081879.167,206,,,
10,205752.7731,4075960.501,442.1,,,
11,215876.8853,4084702.637,294.3,,,
12,222841.1574,4082256.404,460.5,,,
13,217098.6407,4087745.569,387.4,,,
14,215368.7395,4084105.671,96.4,,,
15,220991.601,4081738.083,111.2,,,
16,225201.0321,4080583.706,99.6,,,
17,225391.6095,4080918.962,829.8,,,
18,206307.3197,4070272.372,1122.7,,,
19,209724.7164,4073232.757,187.6,,,
20,206830.56,4076177.81,285.1,,,
21,204275.9104,4075632.06,915.6,,,
22,212565.2573,4080691.155,47.6,,,
23,218418.451,4081222.354,474.3,,,
24,220229.9807,4078838.768,109.7,,,
25,216575.9978,4081023.312,358.9,,,
26,220964.2072,4082330.235,1771.1,,,
27,221008.5658,4080915.995,240.5,,,
28,222148.18,4071009.16,105.6,,,
29,220887.0926,4075950.65,628.4,,,
30,209417.34,4074688.33,1320,,,
31,226989.3095,4080280.725,720.6,,,
32,215690.3723,4075595.955,560.5,,,
33,210134.8111,4075103.106,348.3,,,
34,220958.1584,4078185.454,584.8,,,
35,205347.9598,4073722.122,142.4,,,
36,208539.3704,4075499.982,865.9,,,
37,207330.0915,4072205.324,177.3,,,
38,222167.7419,4082626.746,122,,,
39,221676.6866,4083950.928,266.6,,,
40,210501.5031,4080056.154,265.9,,,
41,212033.4649,4079278.019,432.5,,,
42,225828.5258,4079858.238,162.9,,,
43,207761.0922,4074530.835,291.3,,,
44,211595.314,4077904.564,721,,,
45,224306.9166,4078187.141,1314.3,,,
46,224466.006,4079105.08,262.5,,,
47,216264.5192,4076627.832,381,,,
48,215284.5444,4087161.922,380.7,,,
49,217703.8994,4076105.023,156.7,,,
50,217449.855,4076416.165,359.9,,,
51,211739.4804,4078604.187,142,,,
52,212793.879,4068997.895,1504,,,
53,215172.1523,4078619.494,410.3,,,
54,221251.1714,4074100.221,1087,,,
